Hours_Studied,Marks
2.93,32.28
11.68,100.0
4.72,28.27
10.7,83.81
7.57,63.4
9.54,73.57
6.03,54.1
6.92,58.19
5.91,65.61
2.34,3.44
8.67,68.13
3.37,17.87
0.29,8.38
7.75,45.79
2.13,20.47
11.29,83.98
11.45,84.24
10.98,73.36
4.44,30.88
0.19,12.33
11.14,88.87
5.14,47.38
11.6,100.0
11.56,95.15
10.24,76.3
3.53,32.94
4.62,31.53
10.21,76.66
3.8,15.23
2.03,25.53
6.68,49.59
11.23,91.69
8.35,56.46
6.84,59.09
1.17,1.71
7.38,57.62
11.88,100.0
1.68,21.36
6.22,49.54
10.53,66.55
8.89,100.0
8.36,84.37
8.43,74.67
4.31,26.98
3.52,27.05
9.71,72.26
9.72,90.41
10.4,85.86
10.96,79.83
6.14,44.38
6.02,59.36
9.58,92.64
7.8,77.68
8.42,74.96
9.55,73.87
10.68,53.03
4.06,35.42
4.51,36.04
1.13,10.42
6.94,56.05
0.43,0.0
5.59,50.27
6.51,58.42
3.44,34.33
7.09,66.19
0.37,8.97
0.45,0.0
9.87,78.26
4.32,35.49
1.52,13.27
6.27,60.12
9.24,80.36
2.59,41.49
7.47,81.86
1.02,8.99
0.62,0.0
6.38,63.38
6.49,46.5
7.65,53.18
8.71,65.72
11.71,89.22
6.2,55.69
3.88,15.41
9.54,65.56
3.25,29.43
5.27,48.37
0.94,13.95
0.3,0.0
11.55,82.63
10.03,75.19
8.35,69.21
4.91,54.11
2.08,0.0
1.88,12.81
3.0,10.7
6.59,36.2
8.58,78.27
7.92,68.83
3.36,31.37
11.46,100.0
8.85,66.04
6.65,48.89
7.34,80.58
5.04,37.82
2.97,31.13
4.27,34.24
9.09,54.27
0.17,0.0
1.39,5.35
0.55,14.98
0.49,11.79
10.27,91.26
8.44,57.68
5.69,61.68
1.17,0.0
5.9,49.32
5.68,45.35
2.08,14.89
5.21,55.04
4.78,31.21
7.39,45.63
7.62,61.17
0.54,0.35
4.5,69.74
7.51,66.85
6.04,44.21
10.28,71.66
7.9,44.43
1.96,5.39
0.85,7.92
7.71,75.95
0.32,13.76
7.03,58.53
11.28,87.03
6.91,57.93
4.66,32.08
7.72,78.94
5.5,42.1
6.55,51.52
11.3,68.22
4.63,35.11
11.53,100.0
10.86,76.24
2.35,11.29
0.83,14.59
1.21,0.0
0.22,12.33
1.13,3.75
8.2,61.68
0.85,0.0
3.83,34.4
10.14,100.0
0.28,10.05
9.77,69.55
3.38,38.41
1.42,8.18
8.36,80.63
7.55,68.45
10.53,54.81
8.82,60.53
9.64,86.58
3.38,28.59
2.13,6.8
9.01,65.72
9.68,58.39
11.89,94.2
4.95,61.72
4.46,43.76
9.32,96.44
4.09,41.54
11.17,99.63
10.3,100.0
5.15,44.96
9.01,70.21
9.05,82.76
1.24,24.44
10.83,81.85
6.06,41.29
9.92,80.73
3.84,39.04
10.75,93.95
4.67,23.12
0.13,20.16
10.86,80.51
1.1,6.11
3.83,21.63
11.4,100.0
11.41,93.68
6.88,46.54
7.58,69.3
5.38,50.74
3.52,26.27
3.94,39.96
8.07,56.31
9.03,67.3
9.5,55.89
9.48,62.56
1.09,26.83
5.93,63.88
0.69,6.18
6.59,69.38
5.3,40.79
10.65,82.79
4.21,34.25
1.4,9.99
1.72,11.58
9.14,84.54
7.42,60.85
1.21,16.83
1.01,18.39
8.41,71.17
0.87,0.0
9.86,65.37
8.47,69.29
0.98,6.1
1.02,9.02
11.84,94.56
4.49,61.77
4.45,22.28
9.75,58.13
11.37,94.26
11.83,90.89
9.04,75.48
4.52,41.96
1.0,20.86
9.33,59.53
6.7,48.04
5.09,45.01
10.88,94.71
1.33,32.61
5.91,56.85
0.14,0.52
5.62,36.09
0.68,0.0
1.43,5.48
1.41,17.83
7.79,64.89
8.95,58.38
7.0,51.64
11.55,100.0
4.5,39.5
3.43,33.11
10.42,87.21
2.68,37.73
11.56,94.83
0.15,0.0
11.64,83.95
0.52,6.64
10.69,61.14
6.33,48.82
11.92,93.27
0.89,0.0
6.65,43.89
11.63,100.0
6.28,52.52
7.55,61.44
8.35,69.86
5.45,44.56
7.53,72.67
7.01,57.33
10.81,71.93
0.55,20.66
3.37,30.68
11.4,85.35
10.68,72.93
5.47,47.7
7.44,58.36
3.33,42.37
2.26,14.6
5.56,36.14
4.24,42.88
7.0,65.28
0.93,9.15
11.69,100.0
11.83,94.3
8.38,69.36
6.43,63.12
3.71,35.97
9.77,76.43
8.22,79.26
1.95,0.0
10.93,100.0
9.87,61.9
11.4,84.91
8.71,69.26
7.36,57.42
5.02,50.22
11.19,78.96
10.39,85.75
0.54,0.0
0.32,5.48
4.52,35.49
9.73,78.74
11.85,89.28
1.81,9.34
7.13,59.91
4.57,46.0
11.64,87.13
10.11,72.16
10.06,86.61
5.62,44.67
4.98,48.13
3.28,17.19
0.68,0.0
10.38,77.68
9.75,70.37
12.0,95.19
11.96,89.31
6.67,60.73
9.23,70.94
11.34,92.2
10.2,83.14
2.97,25.69
5.41,43.01
1.55,17.51
11.45,83.63
7.27,72.19
2.74,19.58
8.06,51.37
7.42,61.22
4.3,25.87
1.36,17.55
8.06,86.57
6.24,42.08
9.27,77.47
6.24,32.38
10.23,86.35
6.62,44.13
6.73,47.6
10.52,73.15
4.84,46.06
1.61,22.94
0.35,3.0
9.06,63.85
7.44,75.44
8.45,60.09
2.56,0.0
1.64,17.68
0.17,0.0
4.21,43.54
7.08,52.82
4.71,43.69
5.25,56.01
10.85,74.71
4.18,27.77
6.17,48.59
9.4,90.61
4.76,31.48
7.47,53.78
10.35,87.57
11.39,85.38
1.76,15.64
11.12,73.44
5.91,69.39
3.1,11.31
5.51,40.86
11.76,93.76
5.91,66.42
3.95,18.31
7.6,80.64
2.88,30.63
0.91,11.45
1.55,2.53
1.54,18.0
1.82,7.35
1.67,25.99
7.69,51.81
2.18,16.33
4.15,27.63
10.76,76.22
5.69,52.91
8.01,69.44
2.07,28.63
2.31,0.66
0.49,14.57
2.03,41.27
3.34,22.23
2.12,35.94
1.06,5.88
1.45,0.0
5.53,41.18
2.48,30.29
4.37,26.59
6.04,42.32
8.28,72.21
0.47,3.8
9.59,82.59
7.53,62.66
0.98,12.65
10.48,79.54
11.05,90.72
0.73,0.0
3.32,39.46
9.67,71.05
8.98,83.12
2.21,15.38
2.51,22.12
4.45,30.62
5.81,36.35
7.42,41.9
4.43,24.86
5.55,41.16
8.97,73.88
0.44,13.63
3.03,19.78
8.56,59.66
10.74,71.51
6.14,53.92
6.39,64.91
1.29,22.95
5.37,50.05
6.39,57.52
2.91,40.25
3.23,29.17
4.53,42.68
0.24,0.0
3.86,17.3
2.54,13.46
3.93,31.35
1.44,12.11
10.69,100.0
7.12,57.8
8.15,76.98
9.47,71.41
5.98,44.73
1.04,0.0
6.45,44.14
7.04,61.61
8.95,71.64
5.18,50.87
1.53,14.06
3.41,23.72
4.36,56.34
7.75,61.07
6.85,66.42
4.27,30.17
11.84,100.0
7.27,67.43
2.85,24.86
1.22,0.0
1.83,14.86
2.95,35.92
1.93,20.7
2.24,22.37
3.42,10.15
2.08,9.44
10.76,90.2
0.96,11.81
6.29,62.5
4.92,37.95
11.79,98.37
1.34,10.92
4.77,28.32
11.63,70.51
10.39,87.4
9.8,80.18
3.09,18.58
2.05,0.21
8.02,70.49
11.15,86.56
6.68,59.02
6.86,73.52
3.36,5.46
9.23,66.88
2.24,15.86
3.88,45.62
5.11,24.48
6.09,68.09
2.91,24.63
1.38,10.06
7.33,56.64
3.46,23.35
6.97,66.28
1.85,4.13
5.77,49.64
6.39,47.29
0.62,0.0
4.04,58.17
1.61,17.09
0.76,12.22
11.88,100.0
3.87,16.73
9.72,95.27
3.06,0.0
8.18,57.74
9.12,68.39
7.15,63.0
5.66,47.46
4.94,37.87
4.19,33.37
11.15,79.45
9.97,64.77
11.58,99.91
1.49,18.87
8.77,86.01
11.26,82.18
2.17,24.33
0.8,3.55
8.89,83.05
6.89,65.37
10.1,82.93
1.68,10.02
9.54,85.95
2.42,25.83
1.96,8.87
1.97,2.49
9.77,75.31
7.98,79.01
6.28,61.68
4.31,23.32
10.53,72.53
4.71,50.42
9.8,67.04
5.27,47.25
4.52,30.03
5.55,60.59
3.62,21.23
8.97,83.2
6.03,50.11
2.79,24.81
10.79,66.66
4.61,14.82
6.52,49.98
10.88,89.49
7.49,48.67
1.4,0.34
11.28,95.84
7.53,65.89
4.02,30.77
1.67,21.17
9.53,64.48
7.44,55.97
6.4,67.69
10.73,86.5
9.46,76.97
1.82,37.62
3.74,15.93
2.98,31.82
8.93,88.06
0.4,0.0
6.84,63.31
9.15,63.38
10.52,77.3
4.1,36.69
9.86,86.83
1.33,21.83
10.16,96.96
1.53,11.56
4.77,50.08
9.57,73.12
1.8,23.41
2.75,24.08
8.67,73.79
8.64,73.36
7.69,45.5
8.33,55.38
6.51,53.13
3.02,7.3
4.15,41.5
2.18,26.15
10.9,90.48
7.0,44.79
4.81,52.28
5.54,64.72
11.37,92.41
1.84,19.83
7.03,58.3
6.07,53.87
7.34,57.5
0.22,1.39
10.47,92.78
11.19,100.0
6.78,40.25
8.36,65.84
11.07,76.76
8.49,83.82
1.83,8.77
6.92,40.89
7.28,64.63
5.09,58.16
8.84,77.33
11.21,91.75
11.11,92.95
5.41,57.43
1.36,2.13
11.82,93.43
10.07,76.01
1.5,0.29
11.05,85.12
10.44,94.59
6.23,55.47
7.1,63.21
4.79,39.77
0.66,10.49
4.02,24.17
9.63,73.98
0.06,2.36
4.0,34.79
4.78,41.43
6.45,50.21
11.04,84.53
4.16,64.83
4.16,42.38
8.85,74.93
5.43,41.08
2.7,17.05
5.43,42.13
1.69,16.45
2.12,0.0
5.98,32.15
5.03,33.85
10.98,89.9
4.35,32.4
6.97,70.52
7.59,45.87
0.16,0.0
7.96,78.9
2.14,18.4
11.53,100.0
1.78,34.78
4.98,32.87
1.02,7.2
11.96,92.98
6.03,28.66
7.14,54.05
0.8,15.25
9.0,77.4
2.52,26.34
10.78,82.46
2.46,13.13
2.29,31.0
0.44,0.0
5.66,48.26
6.78,55.86
0.79,20.93
9.31,84.16
5.44,30.56
6.29,38.47
5.29,48.1
4.81,37.83
6.72,49.17
1.86,25.06
2.18,19.34
10.34,83.26
11.35,98.63
4.48,32.09
3.25,41.68
7.73,53.94
4.9,45.81
0.3,16.78
1.87,1.22
8.59,65.3
7.91,74.68
0.33,14.17
2.66,19.59
2.77,14.84
8.06,74.06
0.24,13.73
1.25,0.0
9.6,64.75
2.14,19.39
7.83,68.96
2.86,19.87
1.19,16.34
2.92,16.24
8.67,48.19
10.27,77.91
9.96,80.33
4.77,35.37
8.02,52.55
2.46,1.52
3.52,23.0
10.76,95.02
0.16,13.81
1.03,20.09
2.49,11.8
0.32,0.0
2.18,22.38
7.0,62.32
5.06,44.46
10.71,65.56
9.81,69.81
4.1,32.52
3.11,29.78
4.56,44.12
7.08,58.11
3.22,29.04
7.49,60.77
4.91,46.16
6.62,56.13
5.23,42.53
3.53,25.59
11.38,91.86
9.16,78.15
1.68,16.13
10.42,87.18
5.85,60.22
10.73,88.53
9.6,70.3
5.1,49.66
0.27,0.0
3.22,14.98
6.5,55.36
7.6,65.98
3.09,12.31
1.67,9.55
10.02,74.09
11.81,89.64
6.31,59.9
2.06,23.55
3.27,25.95
0.22,0.0
10.97,74.28
1.41,25.51
6.92,61.27
3.29,19.24
6.65,60.4
7.82,61.83
9.96,76.78
2.48,24.17
0.13,0.0
1.64,9.7
10.8,87.62
10.49,78.9
7.17,64.04
7.21,76.34
7.98,56.3
2.1,0.18
10.97,67.77
5.03,38.7
4.6,30.15
6.23,51.89
0.56,5.83
2.0,0.0
8.86,52.7
0.99,10.91
7.24,59.26
2.94,19.3
4.67,20.8
3.46,32.43
4.27,46.86
8.63,71.81
3.57,20.05
6.8,54.82
5.71,32.04
7.96,74.29
11.24,90.75
8.79,52.65
2.58,17.63
0.37,7.63
3.15,21.85
7.14,54.37
0.62,0.0
5.96,53.32
7.16,50.81
4.01,10.52
9.25,70.29
1.28,20.04
0.9,3.34
8.74,87.29
5.95,51.86
8.26,69.47
5.22,40.46
2.96,22.97
9.83,76.0
9.59,73.72
8.34,72.0
3.27,16.77
7.08,45.9
4.33,23.42
1.1,29.25
11.01,93.37
1.64,16.18
11.4,80.65
5.35,49.05
2.22,16.61
6.5,54.16
10.48,74.04
8.79,71.9
9.68,73.19
7.91,55.59
8.31,73.8
10.19,66.15
3.0,29.62
5.87,53.83
2.65,12.44
11.85,86.61
11.33,88.4
0.47,6.61
8.47,66.21
11.1,93.16
2.17,34.97
6.82,49.45
10.99,70.74
0.41,11.52
8.37,83.79
3.57,32.47
11.09,77.86
11.65,91.98
11.33,79.46
5.69,51.95
10.34,69.24
10.13,78.08
3.83,20.59
9.95,80.84
0.44,0.0
7.16,59.01
2.76,22.3
1.45,1.71
0.92,13.66
8.36,66.36
4.08,22.74
8.7,91.99
0.78,11.04
3.78,28.74
6.47,65.94
9.49,94.33
3.83,29.15
7.51,63.56
10.63,75.17
7.39,57.65
2.8,20.37
0.29,4.19
10.44,86.86
0.26,7.64
10.5,86.35
6.35,38.67
11.27,80.77
9.59,71.22
11.98,92.98
4.21,44.18
9.21,62.02
4.82,35.01
5.76,55.6
7.53,57.24
10.48,88.48
11.81,93.08
9.22,76.32
5.01,37.82
5.06,47.12
8.85,55.36
2.87,19.29
1.33,13.57
4.26,39.38
3.45,42.5
3.56,24.54
2.8,37.22
0.51,0.0
0.21,15.0
11.85,100.0
5.13,31.93
4.61,39.97
8.16,64.73
2.62,27.21
11.4,88.96
9.44,72.42
1.07,22.27
5.01,39.1
10.55,92.66
11.34,88.44
5.61,61.54
7.36,52.1
2.0,9.89
11.89,100.0
2.78,17.79
11.31,100.0
7.8,71.28
7.29,56.8
6.15,31.09
2.77,21.95
2.12,17.96
2.65,32.84
2.24,33.78
9.36,67.99
4.2,41.62
0.69,13.21
11.63,100.0
10.61,89.83
11.13,69.64
11.94,93.96
2.09,5.14
4.75,36.01
9.1,82.59
8.35,69.87
1.85,26.25
9.79,81.74
2.69,8.56
2.69,0.0
6.44,53.04
7.12,54.78
6.96,45.92
1.1,0.0
10.53,76.89
3.19,23.55
1.55,19.09
10.66,87.21
11.47,100.0
10.35,72.41
9.71,86.52
7.86,63.38
6.61,59.83
1.04,3.99
4.9,49.93
4.47,38.73
3.12,18.14
8.68,69.33
5.95,45.21
0.97,12.67
2.64,9.34
8.2,65.3
0.91,11.26
10.21,82.05
5.94,61.0
5.77,53.88
7.11,56.8
9.9,81.34
4.17,36.35
8.14,69.12
6.79,36.05
3.2,22.62
10.54,69.5
9.57,89.34
7.9,62.6
10.21,79.72
10.41,92.23
8.5,72.23
10.04,69.07
8.37,66.25
8.16,61.94
7.42,41.94
9.03,65.36
1.9,13.39
10.57,83.41
10.46,68.87
0.35,14.32
9.91,78.26
1.55,12.75
4.02,36.18
8.92,63.5
1.93,20.0
9.82,74.85
9.99,70.92
6.09,54.45
0.08,15.53
3.44,34.8
7.4,68.45
11.77,88.99
7.58,44.68
3.12,39.84
7.61,81.41
6.48,67.27
9.36,71.51
1.28,0.0
9.13,62.4
6.5,35.12
11.56,91.37
4.1,48.88
7.59,59.32
11.18,92.5
1.23,23.6
11.25,85.93
8.25,86.39
0.81,26.43
3.61,27.58
8.5,62.21
0.81,13.44
6.99,52.41
4.15,21.64
7.45,72.42
0.55,16.56
10.46,85.22
11.68,80.83
11.63,80.72
9.0,73.04
1.56,7.49
9.1,69.38
0.3,12.58
0.27,9.46
3.88,44.85
5.86,37.0
9.24,70.53
8.2,73.19
5.35,47.29
3.28,41.59
11.97,99.93
5.11,59.39
5.42,48.73
1.96,26.33
9.54,73.07
8.32,66.74
2.65,30.3
0.99,24.04
8.17,72.62
7.85,62.0
3.28,40.01
11.41,69.36
1.81,0.28
5.19,48.32
11.32,90.73
5.04,46.35
7.66,61.94
4.77,43.88
3.29,18.18
11.81,100.0
4.91,49.24
10.73,98.04
2.76,42.21
2.56,22.9
0.37,5.73
7.82,47.33
4.42,30.06
10.37,81.05
5.68,55.93
11.62,86.84
2.23,25.77
10.42,83.37
9.32,72.78
9.25,76.5
10.14,77.19
9.13,68.77
7.51,43.07
1.57,10.12
0.39,0.0
11.05,83.24
7.4,63.37
9.56,83.05
5.78,48.55
1.41,21.22
1.5,17.77
8.23,62.86
5.16,36.68
2.41,22.38
5.9,52.93
0.77,20.14
6.98,67.78
3.23,20.41
9.57,75.55
3.72,36.5
5.46,54.38
0.14,10.51
0.87,6.32
4.71,25.14
5.76,36.08
7.2,60.33
3.5,31.42
8.34,55.73
10.32,83.02
9.36,81.18
0.48,0.0
5.77,57.18
1.26,6.3
2.9,35.81
11.84,89.39
1.71,3.41
5.99,43.31
7.42,58.39
8.43,63.55
6.72,51.57
0.12,4.28
3.92,29.63
6.21,49.04
1.05,0.0
4.21,37.58
0.4,2.3
0.94,23.65
4.76,28.71
1.59,0.0
6.81,60.66
8.27,69.65
9.61,66.77
2.4,3.92
2.01,31.45
1.25,24.18
7.64,36.22
8.48,63.24
0.38,19.67
11.23,85.12
0.62,0.08
6.5,49.14
8.51,56.86
10.45,66.57
8.57,79.08
9.62,58.54
4.07,35.06
9.78,87.09
0.96,0.0
10.74,76.66
6.57,64.7
9.81,83.79
5.43,37.25
7.72,73.81
6.32,62.6
8.78,72.92
0.98,0.0
0.72,1.66
2.97,26.59
1.91,13.43
10.46,93.08
2.63,5.75
11.71,78.74
4.04,34.15
2.19,12.57
9.48,69.54
7.9,45.56
5.98,48.02
6.66,52.79
8.63,75.58
2.74,22.62
11.96,94.32
11.7,100.0
7.8,49.31
2.39,24.52
8.16,48.59
0.87,0.0
0.37,0.0
3.09,32.56
5.55,43.76
10.42,83.22
8.73,58.74
8.91,68.3
5.11,33.21
4.15,37.04
4.45,25.71
11.85,100.0
0.48,0.0
10.4,75.17
6.94,72.32
5.26,37.76
8.7,56.48
5.84,48.91
10.48,79.09
10.81,78.11
5.06,29.53
3.32,54.26
7.11,54.35
10.95,68.33
2.53,35.16
7.48,65.92
7.58,52.97
8.8,61.05
1.58,19.37
8.59,66.25
10.91,68.01
2.16,35.12
2.85,18.46
11.66,100.0
2.17,30.16
10.25,72.01
5.91,57.59
2.97,17.22
10.45,64.92
5.34,38.5
6.18,53.4
4.31,29.86
7.12,53.85
1.96,27.13
4.69,38.61
11.63,84.63
3.1,31.8
7.88,65.02
3.9,6.0
9.28,78.54
1.57,16.48
11.64,93.3
5.45,52.48
2.83,15.94
0.88,10.42
2.04,0.63
6.24,53.97
4.04,51.88
9.95,69.62
5.17,33.77
2.98,16.78
7.41,60.55
8.48,57.22
2.0,20.25
2.01,24.56
0.44,8.86
8.84,53.01
7.97,73.68
5.7,54.94
10.13,89.34
9.67,81.07
7.02,58.4
10.42,93.68
2.47,39.0
1.34,1.21
3.24,36.68
0.69,4.62
6.37,49.7
11.24,74.55
0.47,0.93
1.47,1.75
5.43,38.77
11.21,78.67
3.79,25.86
6.09,44.63
0.5,4.96
1.78,0.0
11.84,80.26
11.58,96.27
0.06,0.0
11.42,100.0
7.67,63.61
10.42,89.39
5.46,57.76
6.19,46.4
5.87,41.18
8.0,72.74
1.68,18.5
0.36,1.0
3.7,43.48
8.46,65.53
2.42,19.71
8.08,64.86
11.64,83.77
1.13,9.79
8.07,78.54
5.33,47.05
10.42,83.65
2.13,15.39
8.31,69.8
10.06,87.96
11.34,96.78
8.2,62.27
5.97,50.98
7.41,64.11
10.43,73.34
6.85,56.46
0.36,0.0
11.17,94.2
8.27,72.8
8.12,72.42
2.59,16.75
7.91,66.34
4.73,52.05
7.81,76.66
1.28,9.94
7.89,64.55
11.99,100.0
0.58,0.0
11.73,90.58
4.88,52.42
10.45,93.34
9.39,78.8
6.8,39.38
8.86,70.39
10.54,78.44
4.85,42.11
3.92,23.3
8.01,53.83
9.69,56.9
9.15,85.4
9.57,72.59
5.23,43.39
9.81,78.49
1.44,0.87
6.53,39.68
0.07,0.0
3.9,23.93
4.4,38.85
4.75,30.08
8.35,84.23
4.66,47.57
5.38,51.16
2.85,21.61
4.48,50.97
2.73,19.64
0.88,6.71
7.24,59.63
8.02,71.17
7.43,65.84
5.56,39.74
4.56,31.13
10.36,89.28
6.23,56.98
5.75,42.07
0.31,0.0
4.09,30.69
4.56,42.73
4.79,56.34
6.96,43.72
6.4,46.96
7.29,54.46
9.18,86.99
9.76,77.7
8.62,59.87
11.47,97.32
0.22,0.0
2.35,6.55
0.09,0.0
7.77,79.5
10.78,90.05
2.92,24.45
11.12,86.5
0.72,8.71
11.21,92.51
4.22,36.68
1.22,10.88
5.83,55.33
3.08,24.88
3.42,17.57
3.69,23.38
9.64,57.3
6.47,72.03
3.74,38.51
7.32,50.29
8.59,65.93
3.27,19.8
4.96,55.13
1.46,0.0
2.17,18.54
8.17,64.3
2.18,25.69
6.3,49.38
8.51,50.49
1.28,7.75
6.81,44.74
3.08,25.43
11.56,100.0
5.8,29.03
9.67,69.37
6.6,47.29
0.52,0.35
7.6,68.18
11.42,89.6
7.22,61.91
9.83,72.38
10.61,87.18
2.74,29.67
2.54,13.03
7.33,66.47
4.93,39.98
10.08,91.08
10.8,84.39
4.24,37.74
2.84,22.33
9.37,73.97
3.3,28.97
9.87,84.34
5.08,28.18
8.01,78.42
1.15,0.0
7.49,53.04
5.42,42.43
7.04,60.44
2.02,31.89
8.84,52.16
10.35,77.75
2.6,0.0
1.15,9.5
0.28,4.99
7.7,77.54
7.29,59.49
6.56,62.92
2.78,28.11
4.69,33.17
7.13,42.98
5.96,50.44
11.85,79.91
1.64,26.05
8.34,65.11
4.85,50.77
5.14,36.31
8.61,71.58
8.31,68.57
11.9,94.71
1.54,8.0
1.25,13.92
8.69,60.27
6.94,43.43
3.29,38.75
0.95,14.9
1.03,8.88
10.73,100.0
2.3,15.74
3.88,44.27
2.72,23.51
4.26,23.83
0.83,25.15
6.23,59.74
0.81,5.28
9.6,84.11
2.8,18.4
6.48,60.13
10.56,60.58
7.81,52.29
6.4,60.96
3.89,28.64
4.0,34.04
8.03,50.8
11.93,100.0
7.94,75.44
6.69,51.54
8.77,66.1
5.58,54.96
0.72,25.6
6.75,63.52
11.49,100.0
2.1,7.61
8.28,58.05
2.41,7.4
6.43,55.86
1.16,11.04
5.4,41.72
9.07,80.68
4.17,45.69
7.98,48.57
9.55,70.39
11.13,97.21
2.82,17.85
4.79,30.35
1.83,24.82
11.91,82.38
11.12,85.98
6.48,55.12
10.1,75.1
6.25,57.84
7.48,54.18
1.07,22.64
9.06,71.25
1.53,18.97
9.91,86.76
9.38,68.8
8.5,47.5
0.43,7.08
3.64,29.82
3.16,30.82
4.32,32.31
1.05,4.11
11.24,100.0
6.65,38.44
3.67,36.67
4.76,32.36
5.37,39.57
7.21,54.49
6.19,41.47
11.03,93.97
5.96,61.61
11.91,99.95
10.22,82.77
2.5,10.15
11.17,94.51
1.4,32.73
9.81,74.67
4.57,32.78
10.54,78.67
10.42,78.44
9.67,49.92
9.48,79.89
3.66,20.79
0.97,0.0
4.84,46.22
2.08,5.84
8.34,63.33
4.15,47.89
11.71,79.57
7.69,46.21
9.87,81.65
1.59,24.22
10.34,67.01
11.07,92.66
5.84,52.57
7.28,37.61
9.18,81.41
2.1,25.55
6.03,45.13
4.78,50.8
1.76,25.42
4.41,36.31
0.82,2.03
0.31,0.0
1.62,12.6
11.56,98.16
6.59,49.51
11.59,70.74
5.19,54.21
3.74,31.84
6.07,44.79
5.27,50.76
1.27,25.39
7.69,33.5
2.59,25.08
7.44,45.21
7.8,67.41
1.82,15.87
0.74,12.25
9.37,69.96
5.52,25.41
0.7,1.08
11.94,99.58
0.69,15.7
8.34,55.01
11.8,100.0
2.87,16.48
1.71,17.28
1.46,6.55
3.64,30.94
1.21,18.62
8.31,54.18
0.75,0.0
6.11,50.75
11.96,100.0
9.77,69.51
7.38,79.46
3.68,49.44
7.49,58.92
6.32,47.61
5.11,33.98
1.57,11.87
10.64,71.05
5.4,42.42
2.34,33.65
4.41,29.19
4.97,37.35
9.93,62.43
8.8,74.17
9.23,76.5
0.13,1.7
4.99,37.78
5.78,43.28
0.23,6.86
